小船，小艇,ボート,ボート,名
长椅，长凳,ベンチ,ベンチ,名
市政府,しいちょうしょ,市役所,名
手机,けいたいでんわ,携帯電話,名
禁止吸烟,きんえん,禁煙,名
感冒,かぜ,風邪,名
发烧，体温,ねつ,熱,名
睡眠,すいみん,睡眠,名
澡堂，浴室,おふろ,お風呂,名
药店,やっきょく,薬局,名
空调,クーラー,クーラー,名
火,ひ,火,名
精神，意识,き,気,名
事先商量，碰头，商洽,うちあわせ,打ち合わせ,名
勉强，难以办到,むり,無理,名
禁止停车,ちゅうしゃきんし,駐車禁止,名
禁止进入,たちいりきんし,立入禁止,名
严禁烟火,かきけんしん,火気厳禁,名
禁止拍照,さつえいきんし,撮影禁止,名
乘坐，乘,のります,乗ります,动1
用，使用,つかいます,使います,动1
坐，落座,すわります,座ります,动1
进入，加入,はいります,入ります,动1
是，说，讲，告诉,もうします,申します,动1
取，取得,とります,取ります,动1
唱，歌唱,うたいます,歌います,动1
说，传达，转告,つたえます,伝えます,动2
停，制止,とめます,止めます,动2
热乎，温暖,あたたかい,温かい,形1
没关系，放心,だいじょうぶ,大丈夫,形2
不行，不可以,だめ,だめ,形2
好好地，充足地,じゅうぶん,十分,副
当然，不用说,もちろん,もちろん,副
好好地，安静地,ゆっくり,ゆっくり,副
喂,もしもし,もしもし,叹
不，不是,いえ,いえ,叹
请多保重,おだいじに,お大事に,短语/表达
不行，不可以,いけません,いけません,短语/表达
没关系，不要紧,かまいません,かまいません,短语/表达
还没有，仍然……没有,まだです,まだです,短语/表达
注意,きをつけます,気をつけます,短语/表达
勉强,むりをします,無理をします,短语/表达
睡觉,すいみんをとります,睡眠をとります,短语/表达
洗澡,おふろにはいります,お風呂に入ります,短语/表达
